C0680472	Violent Crime
C0480620	Assault by other and unspecified firearm discharge
C0480622	[X]Assault by other and unspecified firearm discharge, occurrence in residential institution
C0480380	[X]Intentional self harm by handgun discharge, occurrence at unspecified place
C0344196	Nutritional maltreatment of child
C0344197	Emotional abuse of child
C0480445	[X]Intentional self harm by sharp object, occurrence at other specified place
C0480444	[X]Intentional self harm by sharp object, occurrence on farm
C0480446	[X]Intentional self harm by sharp object, occurrence at unspecified place
C0480441	[X]Intentional self harm by sharp object, occurrence on street and highway
C0480440	[X]Intentional self harm by sharp object, occurrence at sports and athletics area
C0480443	[X]Intentional self harm by sharp object, occurrence at industrial and construction area
C0480442	[X]Intentional self harm by sharp object, occurrence at trade and service area
C0418343	Assault by criminal neglect
C0418340	Nonaccidental manslaughter
C0480458	Intentional self-harm by jumping from a high place
C0000865	Child abuse NEC
C0008060	child abuse behavior
C0867303	Multiple forms of child abuse
C0480368	[X]Intentional self harm by drowning and submersion, occurrence at other specified place
C0480369	[X]Intentional self harm by drowning and submersion, occurrence at unspecified place
C0480364	[X]Intentional self harm by drowning and submersion, occurrence on street and highway
C0236861	Physical child abuse
C0480366	[X]Intentional self harm by drowning and submersion, occurrence at industrial and construction area
C0480367	[X]Intentional self harm by drowning and submersion, occurrence on farm
C0480360	[X]Intentional self harm by drowning and submersion, occurrence at home
C0480361	[X]Intentional self harm by drowning and submersion, occurrence in residential institution
C0480362	[X]Intentional self harm by drowning and submersion, occurrence at school, other institution and public administrative area
C0480363	[X]Intentional self harm by drowning and submersion, occurrence at sports and athletics area
C0480370	Intentional self-harm by handgun discharge
C0480436	Intentional self-harm by sharp object
C0480437	[X]Intentional self harm by sharp object, occurrence at home
C0480438	[X]Intentional self harm by sharp object, occurrence in residential institution
C0480439	[X]Intentional self harm by sharp object, occurrence at school, other institution and public administrative area
C0480411	[X]Intentional self harm by explosive material, occurrence on farm
C0019872	Homicide
C0004063	Assault
C0008062	Child Sexual Abuse
C0480379	[X]Intentional self harm by handgun discharge, occurrence at other specified place
C0480378	[X]Intentional self harm by handgun discharge, occurrence on farm
C0480377	[X]Intentional self harm by handgun discharge, occurrence at industrial and construction area
C0480376	[X]Intentional self harm by handgun discharge, occurrence at trade and service area
C0480375	[X]Intentional self harm by handgun discharge, occurrence on street and highway
C0480374	[X]Intentional self harm by handgun discharge, occurrence at sports and athletics area
C0480373	[X]Intentional self harm by handgun discharge, occurrence at school, other institution and public administrative area
C0480372	[X]Intentional self harm by handgun discharge, occurrence in residential institution
C0480371	[X]Intentional self harm by handgun discharge, occurrence at home
C0541789	Assault unprovoked
C0480467	[X]Intentional self harm by jumping from a high place, occurrence at other specified place
C0480423	[X]Intentional self harm by smoke, fire and flames, occurrence at other specified place
C0480422	[X]Intentional self harm by smoke, fire and flames, occurrence on farm
C0480421	[X]Intentional self harm by smoke, fire and flames, occurrence at industrial and construction area
C0480420	[X]Intentional self harm by smoke, fire and flames, occurrence at trade and service area
C0480424	[X]Intentional self harm by smoke, fire and flames, occurrence at unspecified place
C0544692	Murder of friend, acquaintance
C0480365	[X]Intentional self harm by drowning and submersion, occurrence at trade and service area
C0496513	Intentional self-poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics
C0453875	Contact sexual abuse of child
C0480348	Intentional self-harm by hanging, strangulation and suffocation
C0480416	[X]Intentional self harm by smoke, fire and flames, occurrence in residential institution
C0480417	[X]Intentional self harm by smoke, fire and flames, occurrence at school, other institution and public administrative area
C0480414	Intentional self-harm by smoke, fire and flames
C0480415	[X]Intentional self harm by smoke, fire and flames, occurrence at home
C0480412	[X]Intentional self harm by explosive material, occurrence at other specified place
C0480413	[X]Intentional self harm by explosive material, occurrence at unspecified place
C0480410	[X]Intentional self harm by explosive material, occurrence at industrial and construction area
C0277657	Murder of friend
C0277658	Murder of acquaintance
C0480418	[X]Intentional self harm by smoke, fire and flames, occurrence at sports and athletics area
C0480419	[X]Intentional self harm by smoke, fire and flames, occurrence on street and highway
C0004842	Battered Child Syndrome
C0480479	[X]Intentional self harm by jumping or lying before moving object, occurrence at unspecified place
C0424324	Fighting
C1261512	Attack behavior
C1546935	Abuse
C0686787	Abusive sexual relationship
C0683666	date rape
C0233956	Statutory rape
C0034668	Forcible intercourse
C0680500	marital rape
C0686779	Abusive emotional relationship
